NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
Lowell city,Massachusetts,106519,106519,106709,107571,108522
Malden city,Massachusetts,59450,59450,59561,59940,60374
Malden city,Massachusetts,59450,59450,59561,59940,60374
Marlborough city,Massachusetts,38499,38499,38559,38874,39204
Marlborough city,Massachusetts,38499,38499,38559,38874,39204
Maynard town,Massachusetts,10106,10106,10125,10205,10304
Medford city,Massachusetts,56173,56253,56331,56660,57033
Medford city,Massachusetts,56173,56253,56331,56660,57033
Melrose city,Massachusetts,26983,26983,27030,27234,27435
Melrose city,Massachusetts,26983,26983,27030,27234,27435
Natick town,Massachusetts,33006,33006,33077,33366,33760
Newton city,Massachusetts,85146,85146,85355,85596,86307
Newton city,Massachusetts,85146,85146,85355,85596,86307
North Reading town,Massachusetts,14892,14892,14932,15092,15254
Pepperell town,Massachusetts,11497,11497,11532,11670,11797
Reading town,Massachusetts,24747,24741,24788,24984,25192
Sherborn town,Massachusetts,4119,4119,4126,4166,4199
Shirley town,Massachusetts,7211,7211,7307,7473,7546
Somerville city,Massachusetts,75754,75674,75776,76265,77104
Somerville city,Massachusetts,75754,75674,75776,76265,77104
Stoneham town,Massachusetts,21437,21275,21314,21446,21605
Stow town,Massachusetts,6590,6590,6632,6747,6854
Sudbury town,Massachusetts,17659,17659,17700,17919,18119
Tewksbury town,Massachusetts,28961,28953,29075,29354,29669
Townsend town,Massachusetts,8926,8926,8971,9041,9133
Tyngsborough town,Massachusetts,11292,11292,11388,11778,11953
Wakefield town,Massachusetts,24932,25094,25157,25391,25613
Waltham city,Massachusetts,60632,60632,60863,61418,61918
Waltham city,Massachusetts,60632,60632,60863,61418,61918
Watertown Town city,Massachusetts,31915,31915,31985,32199,32863
Watertown Town city,Massachusetts,31915,31915,31985,32199,32863
Wayland town,Massachusetts,12994,12994,13022,13141,13285
Westford town,Massachusetts,21951,21951,22030,22440,22851
Weston town,Massachusetts,11261,11261,11377,11570,11737
Wilmington town,Massachusetts,22325,22325,22384,22658,22936
Winchester town,Massachusetts,21374,21374,21420,21588,21869
Woburn city,Massachusetts,38120,38126,38280,38598,38949
Woburn city,Massachusetts,38120,38126,38280,38598,38949
Nantucket County,Massachusetts,10172,10172,10148,10130,10298
Nantucket town,Massachusetts,10172,10172,10148,10130,10298
Norfolk County,Massachusetts,670850,670850,672858,677683,681845
Braintree Town city,Massachusetts,35744,35744,35813,36008,36249
Franklin Town city,Massachusetts,31635,31635,31872,32213,32374
Quincy city,Massachusetts,92271,92271,92434,92650,93027
Weymouth Town city,Massachusetts,53743,53743,53802,54153,54906
Balance of Norfolk County,Massachusetts,457457,457457,458937,462659,465289
Avon town,Massachusetts,4356,4356,4362,4374,4386
Bellingham town,Massachusetts,16332,16332,16365,16425,16521
Braintree Town city,Massachusetts,35744,35744,35813,36008,36249
Braintree Town city,Massachusetts,35744,35744,35813,36008,36249
Brookline town,Massachusetts,58732,58732,58804,58934,59115
Canton town,Massachusetts,21561,21561,21615,21764,21932
Cohasset town,Massachusetts,7542,7542,7551,8144,8195
Dedham town,Massachusetts,24729,24729,24821,24884,24974
Dover town,Massachusetts,5589,5589,5603,5667,5722
Foxborough town,Massachusetts,16865,16865,16904,16981,17087
Franklin Town city,Massachusetts,31635,31635,31872,32213,32374
Franklin Town city,Massachusetts,31635,31635,31872,32213,32374
Holbrook town,Massachusetts,10791,10791,10810,10851,10899
Medfield town,Massachusetts,12024,12024,12054,12124,12219
Medway town,Massachusetts,12752,12752,12778,12802,12864
Millis town,Massachusetts,7891,7891,7904,7964,7995
Milton town,Massachusetts,27003,27003,27051,27105,27158
Needham town,Massachusetts,28886,28886,29078,29191,29366
Norfolk town,Massachusetts,11227,11227,11267,11426,11539
Norwood town,Massachusetts,28602,28602,28640,28696,28780
Plainville town,Massachusetts,8264,8264,8295,8372,8440
Quincy city,Massachusetts,92271,92271,92434,92650,93027
Quincy city,Massachusetts,92271,92271,92434,92650,93027
Randolph town,Massachusetts,32112,32112,32444,32780,33226
Sharon town,Massachusetts,17612,17612,17647,17722,17826
Stoughton town,Massachusetts,26962,26962,27087,27732,27849
Walpole town,Massachusetts,24070,24070,24145,24389,24562
Wellesley town,Massachusetts,27982,27982,28086,28590,28748
Westwood town,Massachusetts,14618,14618,14646,14704,14768
Weymouth Town city,Massachusetts,53743,53743,53802,54153,54906
Weymouth Town city,Massachusetts,53743,53743,53802,54153,54906
Wrentham town,Massachusetts,10955,10955,10980,11038,11118
Plymouth County,Massachusetts,494919,494919,495891,498275,499759
Brockton city,Massachusetts,93810,93810,93826,94133,94094
Balance of Plymouth County,Massachusetts,401109,401109,402065,404142,405665
Abington town,Massachusetts,15985,15994,16012,16042,16060
Bridgewater town,Massachusetts,26563,26567,26731,26860,26902
Brockton city,Massachusetts,93810,93810,93826,94133,94094
Brockton city,Massachusetts,93810,93810,93826,94133,94094
Carver town,Massachusetts,11509,11509,11524,11536,11521
Duxbury town,Massachusetts,15059,15059,15082,15115,15172
East Bridgewater town,Massachusetts,13794,13790,13807,13899,13955
Halifax town,Massachusetts,7518,7518,7525,7539,7546
Hanover town,Massachusetts,13879,13879,13903,13935,14151
Hanson town,Massachusetts,10209,10209,10228,10270,10292
Hingham town,Massachusetts,22157,22157,22211,22308,22520
Hull town,Massachusetts,10293,10293,10303,10307,10302
Kingston town,Massachusetts,12629,12629,12639,12690,12727
Lakeville town,Massachusetts,10602,10602,10719,10776,10861
Marion town,Massachusetts,4907,4907,4910,4909,4909
Marshfield town,Massachusetts,25132,25132,25214,25354,25436
Mattapoisett town,Massachusetts,6045,6045,6057,6084,6113
Middleborough town,Massachusetts,23116,23116,23136,23286,23395
Norwell town,Massachusetts,10506,10506,10518,10557,10574
Pembroke town,Massachusetts,17837,17837,17866,17925,17959
Plymouth town,Massachusetts,56468,56468,56664,57172,57463
Plympton town,Massachusetts,2820,2820,2829,2838,2840
Rochester town,Massachusetts,5232,5232,5244,5303,5325
Rockland town,Massachusetts,17489,17480,17500,17548,17580
Scituate town,Massachusetts,18133,18133,18154,18172,18173
Wareham town,Massachusetts,21822,21822,21852,22211,22339
West Bridgewater town,Massachusetts,6916,6916,6924,6936,6941
Whitman town,Massachusetts,14489,14489,14513,14570,14609
Suffolk County,Massachusetts,722023,722023,724915,734756,744426
Boston city,Massachusetts,617594,617594,620223,628335,636479
Chelsea city,Massachusetts,35177,35177,35310,36112,36828
Revere city,Massachusetts,51755,51755,51858,52562,53179
Winthrop Town city,Massachusetts,17497,17497,17524,17747,17940
Boston city,Massachusetts,617594,617594,620223,628335,636479
Boston city,Massachusetts,617594,617594,620223,628335,636479
Chelsea city,Massachusetts,35177,35177,35310,36112,36828
Chelsea city,Massachusetts,35177,35177,35310,36112,36828
Revere city,Massachusetts,51755,51755,51858,52562,53179
Revere city,Massachusetts,51755,51755,51858,52562,53179
Winthrop Town city,Massachusetts,17497,17497,17524,17747,17940
